round,Monkey 0,Monkey 1,Monkey 2,Monkey 3,Monkey 4,Monkey 5,Monkey 6,Monkey 7
1,5,15,5,4,0,0,7,0
500,5,17,9,0,0,0,5,0
1000,11,9,6,0,0,0,10,0
1500,6,16,9,1,0,0,4,0
2000,7,14,6,0,1,0,8,0
2500,6,17,7,2,0,0,4,0
3000,9,10,8,1,1,0,7,0
3500,7,13,7,0,0,0,9,0
4000,5,12,13,1,0,0,5,0
4500,11,10,4,0,2,0,9,0
5000,5,14,6,0,1,0,10,0
5500,4,17,10,0,0,0,5,0
6000,12,13,8,2,0,0,1,0
6500,9,13,4,1,2,0,7,0
7000,4,13,9,1,0,0,9,0
7500,5,19,7,2,0,0,3,0
8000,9,15,7,0,1,0,4,0
8500,10,15,5,0,0,0,6,0
9000,4,12,10,1,2,0,7,0
9500,6,20,9,0,0,0,1,0
10000,10,9,6,4,0,0,7,0
